option_symbol,ask1,bid1,mark_price
ETH-221020-1200-C,0.00E+00,0.6,80.2
ETH-221020-1200-P,0.00E+00,5.5,0.1
ETH-221020-1250-C,0.00E+00,31.7,31.9
ETH-221020-1250-P,4.3,1.9,3
ETH-221020-1275-C,12.5,7,10.4
ETH-221020-1275-P,6,3.1,4.5
ETH-221020-1300-C,7,4.9,5.9
ETH-221020-1300-P,27.4,22,24.5
ETH-221020-1325-C,1.5,0.8,1.1
ETH-221020-1325-P,0.00E+00,30,44.9
ETH-221020-1350-C,2.7,1.1,1.1
ETH-221020-1350-P,0.00E+00,0.2,69.7
ETH-221020-1375-C,1.5,0.2,0.2
ETH-221020-1375-P,0.00E+00,0.2,94.7
ETH-221020-1400-C,0.00E+00,0.00E+00,0.1
ETH-221020-1400-P,0.00E+00,0.2,119.7
ETH-221020-1425-C,0.00E+00,0.3,0.1
ETH-221020-1425-P,0.00E+00,0.2,144.7
ETH-221020-1450-C,1.8,0.9,0.1
ETH-221020-1450-P,0.00E+00,0.2,169.7
ETH-221021-1000-C,0.00E+00,276.9,280.2
ETH-221021-1000-P,5,0.2,0.1
ETH-221021-1100-C,0.00E+00,21,180.2
ETH-221021-1100-P,1.8,0.00E+00,0.6
ETH-221021-1200-C,108.6,63.8,85.3
ETH-221021-1200-P,1.9,1.5,1.6
ETH-221021-1250-C,36.7,35.1,35.8
ETH-221021-1250-P,7.1,5.6,6.3
ETH-221021-1300-C,9,8.3,8.6
ETH-221021-1300-P,29.5,27.7,28.5
ETH-221021-1350-C,2.2,1.7,1.9
ETH-221021-1350-P,75,45,71.9
ETH-221021-1400-C,0.8,0.7,0.7
ETH-221021-1400-P,138.8,75.4,122
ETH-221021-1500-C,1.4,0.00E+00,0.4
ETH-221021-1500-P,0.00E+00,100,219.7
ETH-221021-1600-C,0.6,0.00E+00,0.1
ETH-221021-1600-P,0.00E+00,170.2,319.7
ETH-221021-1800-C,0.3,0.2,0.1
ETH-221021-1800-P,0.00E+00,51.9,519.7
ETH-221021-2000-C,0.2,0.00E+00,0.1
ETH-221021-2000-P,768.9,71.9,719.7
ETH-221028-1000-C,316.6,6.3,284.6
ETH-221028-1000-P,2.3,1.9,2
ETH-221028-1200-C,97.3,93.4,95.3
ETH-221028-1200-P,18.7,17.6,18.1
ETH-221028-1250-C,61.7,57.8,59.7
ETH-221028-1250-P,33.8,31.5,32.6
ETH-221028-1300-C,35.6,32.7,34.1
ETH-221028-1300-P,57.5,53.6,55.5
ETH-221028-1350-C,19.2,18.4,18.7
ETH-221028-1350-P,91,87.9,89.4
ETH-221028-1400-C,9.9,9,9.4
ETH-221028-1400-P,207,103,156.9
ETH-221028-1450-C,5.5,3.9,4.6
ETH-221028-1450-P,206.3,114.4,185.2
ETH-221028-1500-C,3.2,2.4,2.7
ETH-221028-1500-P,260.9,1.4,234.1
ETH-221028-1600-C,1.3,0.8,1
ETH-221028-1600-P,338.9,100,324.1
ETH-221028-1700-C,0.6,0.00E+00,1.5
ETH-221028-1700-P,482.8,1.4,423
ETH-221028-1800-C,0.3,0.2,0.2
ETH-221028-1800-P,588.9,1.3,521
ETH-221028-1900-C,0.3,0.00E+00,0.3
ETH-221028-1900-P,712.7,1.3,620.2
ETH-221028-2200-C,0.3,0.2,0.2
ETH-221028-2200-P,1064.2,1.3,919.7
ETH-221028-2500-C,0.3,0.00E+00,0.1
ETH-221028-2500-P,1373.9,1.3,1219.7
ETH-221028-2800-C,0.3,0.2,0.1
ETH-221028-2800-P,1718.9,1.3,1519.7
ETH-221028-3200-C,0.3,0.00E+00,0.1
ETH-221028-3200-P,2178.7,191,1919.7
ETH-221028-800-C,552.4,245,480.2
ETH-221028-800-P,1.6,1.4,1.4
ETH-221104-900-C,425.9,2.5,384.9
ETH-221104-900-P,3.9,2.9,3.3
ETH-221104-1000-C,343.6,250,295
ETH-221104-1000-P,8.5,7.3,7.8
ETH-221104-1100-C,218.9,12.1,198.2
ETH-221104-1100-P,17.8,16.7,17.2
ETH-221104-1200-C,138.4,86.7,118.7
ETH-221104-1200-P,37.3,36.7,36.9
ETH-221104-1300-C,54.8,51.7,53.2
ETH-221104-1300-P,83.8,72.5,78.1
ETH-221104-1350-C,35.1,32.4,33.7
ETH-221104-1350-P,147.8,95.5,121
ETH-221104-1400-C,21.6,20.2,20.8
ETH-221104-1400-P,184.4,104.6,157.6
ETH-221104-1500-C,0,8,8.4
ETH-221104-1500-P,262,4.3,238.9
ETH-221104-1600-C,0,3,3.4
ETH-221104-1600-P,371,150.6,337.1
ETH-221104-1800-C,1.1,0.9,0.9
ETH-221104-1800-P,599.1,1.3,527.4
ETH-221125-1000-C,334.8,117.2,304.8
ETH-221125-1000-P,28.5,26.4,27.4
ETH-221125-1200-C,156.1,150.3,153.1
ETH-221125-1200-P,78.9,74.7,76.7
ETH-221125-1300-C,102.3,96.7,99.5
ETH-221125-1300-P,125.7,121.5,123.6
ETH-221125-1400-C,62.5,60.1,61.2
ETH-221125-1400-P,190.7,185.2,187.9
ETH-221125-1500-C,38.5,36.2,37.3
ETH-221125-1500-P,266.2,261.2,263.6
ETH-221125-1600-C,26,22.3,24.1
ETH-221125-1600-P,408,1.3,361.4
ETH-221125-1800-C,11.1,8.8,9.9
ETH-221125-1800-P,611.7,433.9,551.5
ETH-221125-1900-C,7.4,5.8,6.5
ETH-221125-1900-P,722.9,514.8,648.7
ETH-221125-2200-C,2.6,2.4,2.4
ETH-221125-2200-P,1071.2,764.1,931.4
ETH-221125-2700-C,0.6,0.2,0.3
ETH-221125-2700-P,1617.5,1195.5,1422.2
ETH-221125-3200-C,0.3,0.00E+00,0.4
ETH-221125-3200-P,2192.1,1620.3,1920.3
ETH-221125-3800-C,0.3,0.00E+00,0.1
ETH-221125-3800-P,2882.1,2130.3,2519.8
ETH-221125-800-C,555.3,410.4,491.7
ETH-221125-800-P,10.9,9.3,10
ETH-221125-900-C,452.1,40.6,404.5
ETH-221125-900-P,17.8,15.6,16.6
ETH-221230-1000-C,332.5,326.6,329.5
ETH-221230-1000-P,61.9,58.2,60
ETH-221230-1200-C,201.5,199.1,200.2
ETH-221230-1200-P,129.7,124,126.8
ETH-221230-1300-C,152.4,144.5,148.4
ETH-221230-1300-P,179,173,176
ETH-221230-1400-C,112.4,105.8,109
ETH-221230-1400-P,242,233.9,237.9
ETH-221230-1600-C,61,56.8,58.8
ETH-221230-1600-P,391.4,384.1,387.7
ETH-221230-1900-C,27.9,24.5,26.1
ETH-221230-1900-P,750.5,557,672.6
ETH-221230-2000-C,21.7,18.6,20.1
ETH-221230-2000-P,992.8,466.5,785
ETH-221230-2400-C,8.4,7.7,8
ETH-221230-2400-P,1273,115,1152
ETH-221230-2800-C,3.6,3.4,3.4
ETH-221230-2800-P,1727,1276.5,1535.9
ETH-221230-3500-C,1.4,0.9,1.1
ETH-221230-3500-P,2529.2,223,2224.8
ETH-221230-4500-C,0.5,0.3,0.3
ETH-221230-4500-P,3687.9,2725.9,3220.8
ETH-221230-600-C,749.4,570.2,688.7
ETH-221230-600-P,12.2,10.9,11.5
ETH-221230-800-C,544.2,419,502.6
ETH-221230-800-P,27.3,26.2,26.7